## Name:ideal3_shmip
## Icon:0
# Points Count Value
5706 1.000000
# X pos Y pos
173.028838 288.360276
174.029005 -288.799910
174.029005 288.799910
175.029172 -289.235725
175.029172 289.235725
176.029338 -289.670686
176.029338 289.670686
177.029505 -290.102627
177.029505 290.102627
178.029672 -290.532908
178.029672 290.532908
179.029838 -290.961176
179.029838 290.961176
180.030005 -291.386847
180.030005 291.386847
181.030172 -291.811559
181.030172 291.811559
182.030338 -292.232689
182.030338 292.232689
183.030505 -292.653009
183.030505 292.653009
184.030672 -293.070617
184.030672 293.070617
185.030838 -293.486476
185.030838 293.486476
186.031005 -293.900811
186.031005 293.900811
187.031172 -294.312274
187.031172 294.312274
188.031339 -294.722957
188.031339 294.722957
189.031505 -295.130576
189.031505 295.130576
190.031672 -295.536940
190.031672 295.536940
191.031839 -295.941550
191.031839 295.941550
192.032005 -296.343658
192.032005 296.343658
193.032172 -296.745015
193.032172 296.745015
194.032339 -297.143277
194.032339 297.143277
195.032505 -297.540451
195.032505 297.540451
196.032672 -297.935955
196.032672 297.935955
197.032839 -298.329007
197.032839 298.329007
198.033006 -298.721334
198.033006 298.721334
199.033172 -299.110840
199.033172 299.110840
200.033339 -299.499115
200.033339 299.499115
201.033506 -299.886101
201.033506 299.886101
202.033672 -300.270382
202.033672 300.270382
203.033839 -300.653963
203.033839 300.653963
204.034006 -301.035282
204.034006 301.035282
205.034172 -301.414938
205.034172 301.414938
206.034339 -301.793907
206.034339 301.793907
207.034506 -302.169745
207.034506 302.169745
208.034672 -302.544855
208.034672 302.544855
209.034839 -302.918525
209.034839 302.918525
210.035006 -303.289829
210.035006 303.289829
211.035173 -303.660472
211.035173 303.660472
212.035339 -304.028966
212.035339 304.028966
213.035506 -304.395866
213.035506 304.395866
214.035673 -304.762117
214.035673 304.762117
215.035839 -305.125608
215.035839 305.125608
216.036006 -305.488179
216.036006 305.488179
217.036173 -305.849825
217.036173 305.849825
218.036339 -306.208768
218.036339 306.208768
219.036506 -306.567084
219.036506 306.567084
220.036673 -306.924007
220.036673 306.924007
221.036839 -307.278754
221.036839 307.278754
222.037006 -307.632886
222.037006 307.632886
223.037173 -307.985247
223.037173 307.985247
224.037340 -308.335868
224.037340 308.335868
225.037506 -308.685886
225.037506 308.685886
226.037673 -309.033839
226.037673 309.033839
227.037840 -309.380403
227.037840 309.380403
228.038006 -309.726375
228.038006 309.726375
229.038173 -310.070070
229.038173 310.070070
230.038340 -310.412645
230.038340 310.412645
231.038506 -310.754639
231.038506 310.754639
232.038673 -311.094222
232.038673 311.094222
233.038840 -311.432873
233.038840 311.432873
234.039007 -311.770954
234.039007 311.770954
235.039173 -312.106568
235.039173 312.106568
236.039340 -312.441359
236.039340 312.441359
237.039507 -312.775591
237.039507 312.775591
238.039673 -313.107375
238.039673 313.107375
239.039840 -313.438370
239.039840 313.438370
240.040007 -313.768816
240.040007 313.768816
241.040173 -314.096903
241.040173 314.096903
242.040340 -314.424163
242.040340 314.424163
243.040507 -314.750884
243.040507 314.750884
244.040673 -315.075406
244.040673 315.075406
245.040840 -315.398992
245.040840 315.398992
246.041007 -315.722048
246.041007 315.722048
247.041174 -316.043132
247.041174 316.043132
248.041340 -316.363103
248.041340 316.363103
249.041507 -316.682553
249.041507 316.682553
250.041674 -317.000324
250.041674 317.000324
251.041840 -317.316736
251.041840 317.316736
252.042007 -317.632639
252.042007 317.632639
253.042174 -317.947215
253.042174 317.947215
254.042340 -318.260127
254.042340 318.260127
255.042507 -318.572538
255.042507 318.572538
256.042674 -318.884039
256.042674 318.884039
257.042840 -319.193504
257.042840 319.193504
258.043007 -319.502478
258.043007 319.502478
259.043174 -319.810962
259.043174 319.810962
260.043341 -320.117092
260.043341 320.117092
261.043507 -320.422683
261.043507 320.422683
262.043674 -320.727793
262.043674 320.727793
263.043841 -321.031107
263.043841 321.031107
264.044007 -321.333369
264.044007 321.333369
