Xpos Ypos
5497.916319 -500.000000
5547.924654 -500.000000
5597.932989 -500.000000
5647.941324 -500.000000
5697.949658 -500.000000
5747.957993 -500.000000
5797.966328 -500.000000
5847.974662 -500.000000
5897.982997 -500.000000
5947.991332 -500.000000
5997.999667 -500.000000
6000.000000 -451.951952
6000.000000 -401.901902
6000.000000 -351.851852
6000.000000 -301.801802
6000.000000 -251.751752
6000.000000 -201.701702
6000.000000 -151.651652
6000.000000 -101.601602
6000.000000 -51.551552
6000.000000 -1.501502
6000.000000 48.548549
6000.000000 98.598599
6000.000000 148.648649
6000.000000 198.698699
6000.000000 248.748749
6000.000000 298.798799
6000.000000 348.848849
6000.000000 398.898899
6000.000000 448.948949
6000.000000 498.998999
5950.991832 500.000000
5900.983497 500.000000
5850.975163 500.000000
5800.966828 500.000000
5750.958493 500.000000
5700.950158 500.000000
5650.941824 500.000000
5600.933489 500.000000
5550.925154 500.000000
5500.916819 500.000000
5450.908485 500.000000
5400.900150 500.000000
5350.891815 500.000000
5380.896816 495.692616
5425.904317 490.010930
5468.911485 483.907245
5512.246105 476.976977
5554.925821 469.246687
5595.932655 460.811996
5636.939490 451.185952
5675.945991 440.682390
5713.952325 428.887170
5750.958493 415.543496
5785.964327 400.765192
5819.782101 383.883884
5850.975163 365.268341
5879.979997 344.330014
5906.459734 320.820821
5929.988331 294.603524
5950.720152 264.764765
5967.807206 231.731732
5981.004413 195.695696
5990.767538 154.654655
5996.653815 110.610611
6000.000000 63.563564
6000.000000 13.513514
6000.000000 -36.536537
5998.454338 -85.585586
5994.339647 -131.631632
5986.843942 -173.673674
5975.391143 -212.712713
5960.199597 -247.747748
5941.691506 -278.778779
5919.733707 -306.806807
5894.769423 -331.831832
5866.977830 -354.231836
5836.972829 -374.048318
5804.473136 -391.891892
5769.961660 -407.817704
5733.981872 -421.921922
5696.949492 -434.376656
5657.942990 -445.711409
5617.936323 -455.810085
5576.929488 -464.855540
5535.026493 -472.972973
5492.915486 -480.173256
5448.908151 -486.834616
5404.900817 -492.745486
5360.893482 -498.013758
3.559391 100.600601
13.983924 140.640641
29.744206 174.674675
50.236626 203.703704
75.012502 228.830391
103.560882 250.750751
134.952357 269.769770
168.028005 286.132612
203.417409 300.800801
240.176432 313.813814
279.046508 325.750804
318.053009 336.289952
358.059677 345.926296
399.266383 354.854855
441.073512 363.069886
484.080680 370.788253
527.056918 377.877878
570.095016 384.446566
614.102350 390.692714
658.109685 396.525117
702.117020 401.996589
747.124521 407.262188
792.132022 412.232582
837.139523 416.939609
883.147191 421.505523
929.154859 425.849241
974.473697 429.929930
1021.007983 433.933934
1067.177863 437.735890
1113.185531 441.369733
1160.193366 444.936119
1206.201034 448.292396
1253.208868 451.595882
1300.216703 454.780833
1347.224537 457.854948
1394.232372 460.825276
1441.240207 463.698279
1488.248041 466.479898
1535.255876 469.175600
1583.263877 471.844500
1630.271712 474.379447
1678.279713 476.893408
1725.287548 479.284006
1773.295549 481.657268
1821.303551 483.964889
1868.311385 486.162514
1916.319387 488.347024
1964.327388 490.473468
2012.335389 492.543967
2060.343391 494.560500
2108.351392 496.524916
2156.359393 498.438938
2189.364894 500.000000
2139.356559 500.000000
2089.348225 500.000000
2039.339890 500.000000
1989.331555 500.000000
1939.323221 500.000000
1889.314886 500.000000
1839.306551 500.000000
1789.298216 500.000000
1739.289882 500.000000
1689.281547 500.000000
1639.273212 500.000000
1589.264877 500.000000
1539.256543 500.000000
1489.248208 500.000000
1439.239873 500.000000
1389.231539 500.000000
1339.223204 500.000000
1289.214869 500.000000
1239.206534 500.000000
1189.198200 500.000000
1139.189865 500.000000
1089.181530 500.000000
1039.173196 500.000000
989.164861 500.000000
939.156526 500.000000
889.148191 500.000000
839.139857 500.000000
789.131522 500.000000
739.123187 500.000000
689.114852 500.000000
639.106518 500.000000
589.098183 500.000000
539.089848 500.000000
489.081514 500.000000
439.073179 500.000000
389.064844 500.000000
339.056509 500.000000
289.048175 500.000000
239.039840 500.000000
189.031505 500.000000
139.023171 500.000000
89.014836 500.000000
39.006501 500.000000
0.000000 488.988989
0.000000 438.938939
0.000000 388.888889
0.000000 338.838839
0.000000 288.788789
0.000000 238.738739
0.000000 188.688689
0.000000 138.638639
0.000000 88.588589
